Id,indegree,outdegree,Wynalazcy,Kraj,Firma,Klasa,Podkategoria
"5421819","0","31","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5435805","0","31","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5456662","0","31","David Douglass, Stuart Edwards","UNITED STATES","None","Surgery","Surgery & Med Inst."
"5470308","0","31","Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5452289","0","19","Jeffrey Davis, Timothy Gunn, Ping Li, Sidhartha Maitra, Raghu Sharma, Ashish Thanawala, Steve Young","UNITED STATES","MULTI-TECH SYSTEMS, INC.","Multiplex Communications","Communications"
"5366490","0","15","Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery: Light, Thermal, and Electrical Application","Surgery & Med Inst."
"5370675","0","14","Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery: Light, Thermal, and Electrical Application","Surgery & Med Inst."
"5385544","0","14","Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey, Bruno Strul","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5409453","0","14","Stuart Edwards, Ingemar Lundquist","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5472441","0","14","Stuart Edwards, Ronald Lax","UNITED STATES","ZOMED INTERNATIONAL, INC.","Surgery","Surgery & Med Inst."
