Id,indegree,outdegree,betweenesscentrality,Wynalazcy,Kraj,Firma,Klasa,Podkategoria
5572643,1,6,10,David Judson,UNITED STATES,None,Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating,Computer Hardware & Software
5515490,1,3,6,"M. Buchanan, Polle Zellweger",UNITED STATES,XEROX CORPORATION,"Computer Graphics Processing, Operator Interface Processing, and Selective Visual Display Systems",Computer Peripherials
5555383,1,5,4,"Uri Elazar, Yehuda Peled",ISRAEL,INTERNATIONAL BUSINESS MACHINES CORPORATION,Electrical Computers and Digital Data Processing Systems:  Input/Output,Computer Hardware & Software
5488000,3,2,3.5,"Satoshi Teramoto, Hongyong Zhang",JAPAN,"SEMICONDUCTOR ENERGY LABORATORY CO., LTD.",Semiconductor Device Manufacturing: Process,Semiconductor Devices
5548730,2,2,3.5,"Rick Coulson, Bruce Young",UNITED STATES,INTEL CORPORATION,Electrical Computers and Digital Data Processing Systems:  Input/Output,Computer Hardware & Software
5598464,1,4,3.33,"Thomas Hess, William Minch",UNITED STATES,DSC COMMUNICATIONS CORPORATION,Telephonic Communications,Communications
5493568,1,3,3,"Gunner Danneels, Krishnan Rajamani, Ketan Sampat",UNITED STATES,INTEL CORPORATION,Multiplex Communications,Communications
5499371,2,1,3,"Derek Henninger, Richard Jensen, Christopher Keene",UNITED STATES,"PERSISTENCE SOFTWARE, INC.",Information Processing System Organization,Computer Hardware & Software
5548749,1,2,3,"Lee Eggebroten, Kenji Kawai, David Kroenke, Christopher Olds",UNITED STATES,WALL DATA INCORPORATED,"Data Processing:  Database and File Management, Data Structures, or Document Processing",Computer Hardware & Software
5448568,1,2,2,"Alain Delpuch, Jean-Rene Menand",UNITED STATES,"THOMSON CONSUMER ELECTRONICS, INC.",Television,Miscellaneous-Elec
