Id,indegree,outdegree,closnesscentrality,Wynalazcy,Kraj,Firma,Klasa,Podkategoria
"5793857","0","10","0.916667","Stephen Barnes, James Bartoszewicz, Krishnamurthy Giridharagopal, Ronald Schwartz","UNITED STATES","NORTHERN TELECOM LIMITED","Telephonic Communications","Communications"
"5657468","0","5","0.857143","Randy Hall, David Stallmo","UNITED STATES","AMBEX TECHNOLOGIES, INC.","Electrical Computers and Digital Processing Systems: Memory","Information Storage"
"5696701","0","5","0.857143","Gregory Burgess, Thomas Camarro, David Endicott, Richard Jagers","UNITED STATES","ELECTRONIC DATA SYSTEMS CORPORATION","Error Detection/Correction and Fault Detection/Recovery","Computer Hardware & Software"
"5706502","1","5","0.857143","Jill Foley, Karen Sielski","UNITED STATES","SUN MICROSYSTEMS, INC.","Data Processing:  Database and File Management, Data Structures, or Document Processing","Computer Hardware & Software"
"5706507","0","5","0.857143","Robert Schloss","UNITED STATES","INTERNATIONAL BUSINESS MACHINES CORPORATION","Data Processing:  Database and File Management, Data Structures, or Document Processing","Computer Hardware & Software"
"5712979","0","9","0.846154","Terry Graber, Joshua Kopelman, Edwin Watkeys, Marvin Weinberger","UNITED STATES","INFONAUTICS CORPORATION","Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating","Computer Hardware & Software"
"5717860","0","9","0.846154","Terry Graber, Joshua Kopelman, Edwin Watkeys, Marvin Weinberger","UNITED STATES","INFONAUTICS CORPORATION","Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating","Computer Hardware & Software"
"5717876","0","9","0.846154","Paul Robertson","UNITED STATES","INTERNATIONAL BUSINESS MACHINES CORPORATION","Electrical Computers and Digital Data Processing Systems:  Input/Output","Computer Hardware & Software"
"5684951","0","4","0.833333","Jonathan Goldman, Garry Saperstein","UNITED STATES","SYNOPSYS INC.","Electrical Computers and Digital Processing Systems:  Support","Computer Hardware & Software"
"5699528","0","4","0.833333","Edward Hogan","UNITED STATES","MASTERCARD INTERNATIONAL, INC.","Data Processing: Financial, Business Practice, Management, or Cost/Price Determination","Computer Hardware & Software"
