Id,indegree,outdegree,closnesscentrality,inventor,citedby,citingno,country,company,class,subcategory
"5793857","0","10","0.916667","Stephen Barnes, James Bartoszewicz, Krishnamurthy Giridharagopal, Ronald Schwartz","11","26","UNITED STATES","NORTHERN TELECOM LIMITED","Telephonic Communications","Communications"
"5657468","0","5","0.857143","Randy Hall, David Stallmo","10","22","UNITED STATES","AMBEX TECHNOLOGIES, INC.","Electrical Computers and Digital Processing Systems: Memory","Information Storage"
"5696701","0","5","0.857143","Gregory Burgess, Thomas Camarro, David Endicott, Richard Jagers","10","13","UNITED STATES","ELECTRONIC DATA SYSTEMS CORPORATION","Error Detection/Correction and Fault Detection/Recovery","Computer Hardware & Software"
"5706502","1","5","0.857143","Jill Foley, Karen Sielski","20","7","UNITED STATES","SUN MICROSYSTEMS, INC.","Data Processing:  Database and File Management, Data Structures, or Document Processing","Computer Hardware & Software"
"5706507","0","5","0.857143","Robert Schloss","26","12","UNITED STATES","INTERNATIONAL BUSINESS MACHINES CORPORATION","Data Processing:  Database and File Management, Data Structures, or Document Processing","Computer Hardware & Software"
"5712979","0","9","0.846154","Terry Graber, Joshua Kopelman, Edwin Watkeys, Marvin Weinberger","22","19","UNITED STATES","INFONAUTICS CORPORATION","Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating","Computer Hardware & Software"
"5717860","0","9","0.846154","Terry Graber, Joshua Kopelman, Edwin Watkeys, Marvin Weinberger","15","22","UNITED STATES","INFONAUTICS CORPORATION","Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating","Computer Hardware & Software"
"5717876","0","9","0.846154","Paul Robertson","10","16","UNITED STATES","INTERNATIONAL BUSINESS MACHINES CORPORATION","Electrical Computers and Digital Data Processing Systems:  Input/Output","Computer Hardware & Software"
"5684951","0","4","0.833333","Jonathan Goldman, Garry Saperstein","24","12","UNITED STATES","SYNOPSYS INC.","Electrical Computers and Digital Processing Systems:  Support","Computer Hardware & Software"
"5699528","0","4","0.833333","Edward Hogan","13","13","UNITED STATES","MASTERCARD INTERNATIONAL, INC.","Data Processing: Financial, Business Practice, Management, or Cost/Price Determination","Computer Hardware & Software"
