Id,indegree,outdegree,inventor,citedby,citingno,country,company,class,subcategory
"5748783","0","21","Geoffrey Rhoads","10","175","UNITED STATES","DIGIMARC CORPORATION","Image Analysis","Computer Hardware & Software"
"5768426","0","16","Geoffrey Rhoads","10","174","UNITED STATES","DIGIMARC CORPORATION","Image Analysis","Computer Hardware & Software"
"5677320","0","14","Roshantha Chandraratna","10","82","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5692211","0","11","Brian Barnes, Dale Gulick, Larry Hewitt, Andy Lambrecht, Mike Webb","16","32","UNITED STATES","ADVANCED MICRO DEVICES, INC.","Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)","Computer Hardware & Software"
"5734373","0","11","Adam Braun, Mike Levin, Louis Rosenberg","18","129","UNITED STATES","IMMERSION HUMAN INTERFACE CORPORATION","Computer Graphics Processing, Operator Interface Processing, and Selective Visual Display Systems","Computer Peripherials"
"5793857","0","10","Stephen Barnes, James Bartoszewicz, Krishnamurthy Giridharagopal, Ronald Schwartz","11","26","UNITED STATES","NORTHERN TELECOM LIMITED","Telephonic Communications","Communications"
"5677323","0","9","Roshantha Chandraratna","10","73","UNITED STATES","ALLERGAN, INC.","Drug, Bio-Affecting and Body Treating Compositions","Drugs"
"5712979","0","9","Terry Graber, Joshua Kopelman, Edwin Watkeys, Marvin Weinberger","22","19","UNITED STATES","INFONAUTICS CORPORATION","Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating","Computer Hardware & Software"
"5717860","0","9","Terry Graber, Joshua Kopelman, Edwin Watkeys, Marvin Weinberger","15","22","UNITED STATES","INFONAUTICS CORPORATION","Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating","Computer Hardware & Software"
"5717876","0","9","Paul Robertson","10","16","UNITED STATES","INTERNATIONAL BUSINESS MACHINES CORPORATION","Electrical Computers and Digital Data Processing Systems:  Input/Output","Computer Hardware & Software"
