patent,citedby,citingno,country,company,class,subcategory,inventor
5572643,173,19, UNITED STATES,, Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,David Judson
5530852,136,2, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Carl Meske
5530852,136,2, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Mark Opperman
5530852,136,2, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Philip Hooper
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Dan Hullette
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Jason Jeffords
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Bruce Nutbrown
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Tom Parker
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Andy Grimes
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Phil Andlauer
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Roger Dev
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Kurt Dobbins
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Chris Oliver
5585479,73,1, UNITED STATES,"UNITED STATES OF AMERICA, NAVY                                                  ", Organic Compounds -- Part of the Class 532-570 Series                                                                                                                                                                                                          ,Organic Compounds,Taffy Williams
5585479,73,1, UNITED STATES,"UNITED STATES OF AMERICA, NAVY                                                  ", Organic Compounds -- Part of the Class 532-570 Series                                                                                                                                                                                                          ,Organic Compounds,Glenn Hoke
5585479,73,1, UNITED STATES,"UNITED STATES OF AMERICA, NAVY                                                  ", Organic Compounds -- Part of the Class 532-570 Series                                                                                                                                                                                                          ,Organic Compounds,Che-Hung Lee
5585479,73,1, UNITED STATES,"UNITED STATES OF AMERICA, NAVY                                                  ", Organic Compounds -- Part of the Class 532-570 Series                                                                                                                                                                                                          ,Organic Compounds,Matthews Bradley
5505730,63,21, UNITED STATES,, Surgery                                                                                                                                                                                                                                                        ,Surgery & Med Inst.,Stuart Edwards
5481542,61,15, UNITED STATES,"SCIENTIFIC-ATLANTA, INC.                                                        ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Timothy Addington
5481542,61,15, UNITED STATES,"SCIENTIFIC-ATLANTA, INC.                                                        ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Gary Logston
5481542,61,15, UNITED STATES,"SCIENTIFIC-ATLANTA, INC.                                                        ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,William Wall
5481542,61,15, UNITED STATES,"SCIENTIFIC-ATLANTA, INC.                                                        ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Anthony Wasilewski
5499371,59,6, UNITED STATES,"PERSISTENCE SOFTWARE, INC.                                                      ", Information Processing System Organization                                                                                                                                                                                                                     ,Computer Hardware & Software,Richard Jensen
5499371,59,6, UNITED STATES,"PERSISTENCE SOFTWARE, INC.                                                      ", Information Processing System Organization                                                                                                                                                                                                                     ,Computer Hardware & Software,Derek Henninger
5499371,59,6, UNITED STATES,"PERSISTENCE SOFTWARE, INC.                                                      ", Information Processing System Organization                                                                                                                                                                                                                     ,Computer Hardware & Software,Christopher Keene
5557518,59,26, UNITED STATES,CITIBANK N.A.                                                                   ," Data Processing: Financial, Business Practice, Management, or Cost/Price Determination                                                                                                                                                                         ",Computer Hardware & Software,Sholom Rosen
5533020,58,5, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Gary Delp
5533020,58,5, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Baiju Patel
5533020,58,5, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Kevin Plotz
5533020,58,5, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Frank Schaffa
5533020,58,5, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Marc Willebeek-LeMair
5533020,58,5, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Philip Leichty
5533020,58,5, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Jonathan Byrn
5497373,57,15, UNITED STATES,ERICSSON MESSAGING SYSTEMS INC.                                                 , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,John Hulen
5497373,57,15, UNITED STATES,ERICSSON MESSAGING SYSTEMS INC.                                                 , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,David Oren
