patent,citedby,citingno,country,company,class,subcategory,inventor
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Jimmy McCoy
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Jack Ramsey
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,David Murray
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,James Holen
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Adrian Murray
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Robert Luoma
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,James Mitchell
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Julius Toth
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,David Arnquist
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Grady Barnes
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Richard Button
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Chadwick Dunn
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Richard East
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Patrick Fritchie
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Charles Galitz
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Gregory Gardner
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Neal Sleszynski
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Cass Grandone
5856194,1,737, UNITED STATES,ABBOTT LABORATORIES                                                             , Chemistry: Analytical and Immunological Testing                                                                                                                                                                                                                ,Miscellaneous-chemical,Robert Gray
5681380,2,595, UNITED STATES,"KIMBERLY-CLARK WORLDWIDE, INC.                                                  ", Compositions:  Coating or Plastic                                                                                                                                                                                                                              ,Coating,John MacDonald
5681380,2,595, UNITED STATES,"KIMBERLY-CLARK WORLDWIDE, INC.                                                  ", Compositions:  Coating or Plastic                                                                                                                                                                                                                              ,Coating,Ronald Nohr
